"filename", "language", "XML", "Java", "Java Properties", "Batch", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\dataSources.xml", "XML", 33, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\encodings.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\misc.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\sqldialects.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\uiDesigner.xml", "XML", 124, 0, 0, 0, 0, 0, 0, 0, 124
"c:\Users\noval\Documents\GitHub\gradeappv3\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\noval\Documents\GitHub\gradeappv3\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\noval\Documents\GitHub\gradeappv3\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 17, 36
"c:\Users\noval\Documents\GitHub\gradeappv3\mvnw.cmd", "Batch", 0, 0, 0, 102, 0, 0, 51, 36, 189
"c:\Users\noval\Documents\GitHub\gradeappv3\pom.xml", "XML", 196, 0, 0, 0, 0, 0, 5, 6, 207
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\ArchiveController.java", "Java", 0, 7, 0, 0, 0, 0, 2, 7, 16
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\AssessmentController.java", "Java", 0, 481, 0, 0, 0, 0, 8, 101, 590
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\AssessmentCreationController.java", "Java", 0, 125, 0, 0, 0, 0, 0, 23, 148
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\ClassController.java", "Java", 0, 289, 0, 0, 0, 0, 13, 51, 353
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\CourseDetailsController.java", "Java", 0, 123, 0, 0, 0, 0, 0, 27, 150
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\CourseEditController.java", "Java", 0, 171, 0, 0, 0, 0, 0, 25, 196
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\CoursesController.java", "Java", 0, 96, 0, 0, 0, 0, 1, 26, 123
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\DataImportExportController.java", "Java", 0, 45, 0, 0, 0, 0, 1, 8, 54
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\GradingController.java", "Java", 0, 92, 0, 0, 0, 0, 2, 23, 117
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\HelloController.java", "Java", 0, 49, 0, 0, 0, 0, 7, 12, 68
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\HomeController.java", "Java", 0, 23, 0, 0, 0, 0, 3, 10, 36
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\ReportController.java", "Java", 0, 52, 0, 0, 0, 0, 3, 15, 70
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\StudentController.java", "Java", 0, 264, 0, 0, 0, 0, 16, 56, 336
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\database\Database.java", "Java", 0, 760, 0, 0, 0, 0, 13, 64, 837
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Assessment.java", "Java", 0, 175, 0, 0, 0, 0, 10, 51, 236
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\AssessmentPart.java", "Java", 0, 29, 0, 0, 0, 0, 2, 8, 39
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Classes.java", "Java", 0, 54, 0, 0, 0, 0, 0, 17, 71
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Course.java", "Java", 0, 87, 0, 0, 0, 0, 0, 23, 110
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Grade.java", "Java", 0, 61, 0, 0, 0, 0, 2, 20, 83
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\GradeBook.java", "Java", 0, 62, 0, 0, 0, 0, 3, 14, 79
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Outcome.java", "Java", 0, 58, 0, 0, 0, 0, 0, 16, 74
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Student.java", "Java", 0, 59, 0, 0, 0, 0, 3, 16, 78
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\StudentGrade.java", "Java", 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Task.java", "Java", 0, 69, 0, 0, 0, 0, 2, 18, 89
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\AutoSave.java", "Java", 0, 0, 0, 0, 0, 0, 33, 1, 34
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\Calculator.java", "Java", 0, 112, 0, 0, 0, 0, 0, 21, 133
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\ChartGenerator.java", "Java", 0, 46, 0, 0, 0, 0, 0, 13, 59
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\DataValidator.java", "Java", 0, 51, 0, 0, 0, 0, 3, 10, 64
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\FileHandler.java", "Java", 0, 220, 0, 0, 0, 0, 68, 51, 339
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\ReportExporter.java", "Java", 0, 50, 0, 0, 0, 0, 1, 9, 60
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\WeightedAverageGradeCalculator.java", "Java", 0, 30, 0, 0, 0, 0, 2, 11, 43
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\module-info.java", "Java", 0, 31, 0, 0, 0, 0, 0, 13, 44
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\org\example\demo3\HelloApplication.java", "Java", 0, 21, 0, 0, 0, 0, 2, 4, 27
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\archive-view.fxml", "XML", 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\assessment-creation.fxml", "XML", 31, 0, 0, 0, 0, 0, 0, 10, 41
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\assessment-view.fxml", "XML", 104, 0, 0, 0, 0, 0, 0, 3, 107
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\classes-view.fxml", "XML", 28, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\course-creation.fxml", "XML", 63, 0, 0, 0, 0, 0, 0, 12, 75
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\course-details.fxml", "XML", 43, 0, 0, 0, 0, 0, 0, 11, 54
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\courses-view.fxml", "XML", 47, 0, 0, 0, 0, 0, 3, 6, 56
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\hello-view.fxml", "XML", 161, 0, 0, 0, 0, 0, 0, 3, 164
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\home-view.fxml", "XML", 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\icons\assessments.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\students-view.fxml", "XML", 88, 0, 0, 0, 0, 0, 1, 5, 94
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\styles.css", "CSS", 0, 0, 0, 0, 0, 50, 4, 4, 58
"Total", "-", 996, 3801, 2, 102, 19, 50, 264, 896, 6130
